,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
54,High Hopes,Panic! At The Disco,1523346,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
55,In My Feelings,Drake,1517061,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
56,Calma - Remix,Pedro Capó,1515884,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
57,I Like It,Cardi B,1515871,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
58,Vaina Loca,Ozuna,1514677,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
59,Jocelyn Flores,XXXTENTACION,1509287,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
60,rockstar (feat. 21 Savage),Post Malone,1480168,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
61,Taste (feat. Offset),Tyga,1472612,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
62,Let You Love Me,Rita Ora,1464900,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
63,Bad Liar,Imagine Dragons,1460344,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
64,lovely - Bonus Track,Billie Eilish,1454873,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
65,Ella Quiere Beber - Remix,Anuel Aa,1452497,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
66,Youngblood,5 Seconds of Summer,1451710,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
67,Falling Down - Bonus Track,Lil Peep,1429891,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
68,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,1381480,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
69,no tears left to cry,Ariana Grande,1339312,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
